Sub Theme,Interest,,,,
Function/Conference/Exhibition Centre,hangout,,,,
Retail/Office,shopping,,,,
Synagogue,religious,,,,
Department Store,shopping,,,,
Casino,hangout,,,,
Retail/Office/Carpark,shopping,,,,
Indoor Recreation Facility,sport/phyiscal recreation,,,,
Cinema,Cinema,,,,
Library,Library,,,,
Private Sports Club/Facility,sport/phyiscal recreation,,,,
Observation Tower/Wheel,hangout,,,,
Marina,hangout,,,,
Church,religious,,,,
Informal Outdoor Facility (Park/Garden/Reserve),hangout,sport/phyiscal recreation,park,,
Art Gallery/Museum,museum,,,,
Major Sports & Recreation Facility,museum,,,,
"Outdoor Recreation Facility (Zoo, Golf Course)",hangout,sport/phyiscal recreation,park,,
Theatre Live,cinema,,,,
Public Buildings,hangout,park,spectator of sport,,
Aquarium,hangout,,,,
Retail,shopping,,,,
Gymnasium/Health Club,sport/phyiscal recreation,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,